ms/step, loss, pi_loss, v_loss
557, 3.5798, 2.4249, 1.1549
554, 2.9607, 2.0425, 0.9183
557, 2.7059, 1.9039, 0.8020
554, 2.5154, 1.8013, 0.7141
553, 2.4134, 1.7451, 0.6683
558, 2.3244, 1.6932, 0.6312
559, 2.2960, 1.6783, 0.6177
561, 2.2527, 1.6580, 0.5947
562, 2.2320, 1.6568, 0.5753
559, 2.1647, 1.6047, 0.5600
562, 1.7938, 1.3880, 0.4058
564, 1.7383, 1.3464, 0.3919
566, 1.7104, 1.3294, 0.3811
557, 1.7019, 1.3237, 0.3783
558, 1.6920, 1.3194, 0.3726
556, 1.6841, 1.3104, 0.3737
569, 1.6766, 1.3073, 0.3693
583, 1.6719, 1.3036, 0.3683
576, 1.6652, 1.2988, 0.3664
563, 1.6636, 1.2983, 0.3653
576, 1.5073, 1.2117, 0.2956
596, 1.4963, 1.2021, 0.2941
632, 1.4905, 1.1987, 0.2919
620, 1.4872, 1.1962, 0.2910
624, 1.4840, 1.1943, 0.2897
584, 1.4804, 1.1917, 0.2887
575, 1.4791, 1.1894, 0.2897
593, 1.4778, 1.1887, 0.2891
600, 1.4691, 1.1846, 0.2844
575, 1.4688, 1.1842, 0.2845
552, 1.4021, 1.1481, 0.2540
556, 1.3878, 1.1369, 0.2508
553, 1.3787, 1.1309, 0.2478
546, 1.3759, 1.1276, 0.2484
545, 1.3747, 1.1270, 0.2477
556, 1.3670, 1.1223, 0.2447
556, 1.3678, 1.1225, 0.2453
554, 1.3655, 1.1208, 0.2447
555, 1.3604, 1.1177, 0.2426
548, 1.3595, 1.1175, 0.2420
551, 1.3446, 1.1118, 0.2328
547, 1.3266, 1.0988, 0.2278
554, 1.3198, 1.0937, 0.2262
552, 1.3154, 1.0897, 0.2257
547, 1.3168, 1.0889, 0.2280
550, 1.3109, 1.0860, 0.2249
556, 1.3054, 1.0822, 0.2232
556, 1.3047, 1.0814, 0.2232
548, 1.3014, 1.0799, 0.2215
563, 1.2980, 1.0782, 0.2198
548, 1.3010, 1.0822, 0.2188
544, 1.2837, 1.0685, 0.2152
577, 1.2777, 1.0638, 0.2140
572, 1.2733, 1.0600, 0.2132
556, 1.2675, 1.0561, 0.2113
548, 1.2646, 1.0531, 0.2115
558, 1.2617, 1.0519, 0.2098
561, 1.2634, 1.0532, 0.2102
560, 1.2585, 1.0502, 0.2083
559, 1.2548, 1.0471, 0.2077
568, 1.2799, 1.0646, 0.2153
555, 1.2613, 1.0508, 0.2106
553, 1.2558, 1.0452, 0.2106
556, 1.2503, 1.0412, 0.2092
564, 1.2457, 1.0385, 0.2072
555, 1.2433, 1.0359, 0.2075
561, 1.2395, 1.0334, 0.2061
566, 1.2357, 1.0314, 0.2043
559, 1.2335, 1.0296, 0.2040
561, 1.2329, 1.0292, 0.2037
566, 1.2563, 1.0499, 0.2064
563, 1.2344, 1.0319, 0.2025
558, 1.2301, 1.0279, 0.2022
562, 1.2234, 1.0232, 0.2002
579, 1.2199, 1.0210, 0.1989
578, 1.2164, 1.0185, 0.1979
579, 1.2119, 1.0158, 0.1960
575, 1.2095, 1.0131, 0.1964
579, 1.2081, 1.0119, 0.1961
